GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone
574742096,20160901,EMBASSY,EGYPT,4,2,1,-2.70270270270271
484133614,20151112,SINGAPORE,SINGAPORE,4,4,1,-7.72357723577235
526139975,20160331,DEFENCE MINIST,OPPOSITION MP,4,6,1,-8.17438692098092
462166708,20150830,POLICE,ENGINEER,4,5,1,-4.91329479768786
582727188,20160926,MAGAZINE,SINGAPORE,4,10,1,-2.12765957446808
583272679,20160927,REPRESENTATIVES,SINGAPORE,4,2,1,-1.3840830449827
433888797,20150517,TERENGGANU,SINGAPORE,4,2,1,-1.47058823529412
478937925,20151026,SINGAPORE,COMPANY,4,2,1,1.006148686417
439786629,20150609,FIREFIGHTER,POLICE,4,5,1,-4.48877805486284
526140390,20160331,PARLIAMENT,OPPOSITION MP,4,1,1,-8.17438692098092
446665511,20150706,PUBLICATION,SINGAPORE,4,4,1,-7.02702702702703
473731139,20151007,FRENCH,SINGAPORE,4,10,1,-8.18181818181818
497361741,20151226,LONDON,RIYADH,4,6,1,-1.76470588235294
464900325,20150908,THE US,WORKER,4,10,1,-2.61261261261261
451306353,20150722,SINGAPORE,UNITED STATES,4,5,1,-6.10687022900764
434286794,20150519,PAKISTAN,INDONESIAN,4,1,1,-6.16740088105727
641088683,20170328,MILITARY,SINGAPORE,4,4,1,-2.53164556962026
641088684,20170328,MILITARY,INTELLIGENCE,4,6,1,-2.53164556962026
641089025,20170328,MILITANT,SINGAPORE,4,4,1,-2.53164556962026
641635148,20170329,SINGAPORE,ARMY,4,4,1,-1.49253731343283
439310669,20150608,PUPIL,SINGAPORE,4,20,1,1.06951871657754
522117754,20160311,SINGAPORE,CALIF,4,4,1,-6.61764705882353
536551046,20160503,SINGAPORE,CARDIFF,4,3,1,-5.0632911392405
475150711,20151012,POLICE,SINGAPORE,4,10,1,-5.86319218241043
524822884,20160327,SINGAPORE,VLADIVOSTOK,4,4,1,-0.980392156862747
432189951,20150511,RIAU,SINGAPOREAN,4,8,1,-7.33333333333333
529894775,20160412,WORKER,SINGAPORE,4,10,1,-6.85714285714286
516009635,20160227,VIETNAM,UNITED KINGDOM,4,1,1,-3.367408275604248
535897160,20160430,INDONESIAN,SINGAPOREAN,4,2,1,-6.17021276595744
456525921,20150810,ASSOCIATED PRESS,POLICE,4,3,1,-7.8125
