GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,QuadClass,NumArticles,NumSources,AvgTone,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
653860871,20170509,HOSPITAL,SINGAPOREAN,4,7,1,-6.32911392405063,1.3667,103.8,Singapore,http://www.smh.com.au/queensland/police-hunting-singaporean-man-after-bashing-of-woman-in-brisbane-20170508-gw0hto.html
653906594,20170509,POLICE COMMISSIONER,STUDENT,4,4,1,-4.55696202531646,1.3667,103.8,Singapore,http://www.thehindu.com/news/cities/Delhi/team-that-probed-nirbhaya-case-to-shoulder-new-responsibility/article18413280.ece
653907162,20170509,DELHI,STUDENT,4,4,1,-4.55696202531646,1.3667,103.8,Singapore,http://www.thehindu.com/news/cities/Delhi/team-that-probed-nirbhaya-case-to-shoulder-new-responsibility/article18413280.ece
653907177,20170509,DELHI,DELHI,4,2,1,-4.55696202531646,1.3667,103.8,Singapore,http://www.thehindu.com/news/cities/Delhi/team-that-probed-nirbhaya-case-to-shoulder-new-responsibility/article18413280.ece
653939242,20170509,ARMY,SINGAPORE,4,10,1,-2.22222222222223,1.3667,103.8,Singapore,http://thehoneycombers.com/singapore/army-daze-2-in-singapore-the-beloved-local-theatre-production-reports-back-for-duty-this-august-2/
573524012,20160828,SINGAPORE,ADMINISTRATION,4,10,1,-4.06504065040651,1.3667,103.8,Singapore,http://www.dostor.org/1160457
573657163,20160829,CHINA,AUTHORITIES,4,2,1,-4.53283996299722,1.32194,103.848,"Tan Tock Seng Hospital, Singapore (general), Singapore",https://www.yahoo.com/news/top-asian-news-4-04-m-gmt-040417451.html
574363665,20160831,EMBASSY,WORKER,4,8,1,-8.0,1.3667,103.8,Singapore,http://arabic.news.cn/2016-08/30/c_135646138.htm
639622390,20170323,SINGAPORE,TERRORIST,4,4,1,-6.66666666666669,1.3667,103.8,Singapore,http://www.channelnewsasia.com/news/world/singapore-strongly-condemns-vicious-terrorist-attack-in/3618600.html
575606997,20160903,MALAYSIA,SINGAPORE,4,2,1,-6.54545454545454,1.29528,103.783,"National University Hospital, Singapore (general), Singapore",http://www.straitstimes.com/singapore/family-injured-in-tour-bus-crash-father-fighting-for-his-life
575637637,20160904,HOSPITAL,SINGAPORE,4,2,1,-6.83111954459203,1.29528,103.783,"National University Hospital, Singapore (general), Singapore",http://www.thestar.com.my/news/nation/2016/09/04/singaporean-fighting-for-his-life-after-genting-tour-bus-crash/
575637879,20160904,MALAYSIA,SINGAPORE,4,2,1,-6.83111954459203,1.29528,103.783,"National University Hospital, Singapore (general), Singapore",http://www.thestar.com.my/news/nation/2016/09/04/singaporean-fighting-for-his-life-after-genting-tour-bus-crash/
575834443,20160904,SINGAPORE,SINGAPORE,4,10,1,-3.29670329670329,1.3667,103.8,Singapore,http://www.djazairess.com/alseyassi/69430
