GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
690032682,20170916,MUSLIM,,MOS,,10,1,30.25,79.25,"Uttarakhand, Uttaranchal, India",http://www.jagran.com/uttarakhand/udhamsingh-nagar-df-gdg-16713749.html
690210787,20170916,MUSLIM,WEST BENGAL,MOS,,5,1,24.15,88.4667,"Islampur, West Bengal, India",http://twocircles.net/2017sep16/416641.html
690158833,20170916,ISLAMIC,PRIEST,MOS,,10,1,10.0,76.5,"Kerala, Kerala, India",http://indianexpress.com/article/india/kerala-catholic-priest-reverend-tom-uzhunnalil-after-release-from-isis-captivity-yemen-says-not-harmed-physically-4846608/
690190182,20170916,MUSLIM,REUTERS,MOS,,10,1,27.3833,75.9667,"Shahpura, Rajasthan, India",https://www.bhaskar.com/news/RAJ-OTH-MAT-latest-shahpura-news-135004-62481-NOR.html
690398662,20170917,MUSLIM,,MOS,,10,1,22.5697,88.3697,"Calcutta, West Bengal, India",http://www.bd-pratidin.com/editorial/2017/09/18/264911
690332227,20170917,MUSLIM,,MOS,,4,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://telugu.oneindia.com/feature/general/2017-saw-the-most-cases-violent-cow-vigilantism-says-report-211141.html
690592334,20170918,MUSLIM,MYANMAR,MOS,,10,1,27.0529,79.3583,"Manipur, Uttar Pradesh, India",https://www.bhaskar.com/news/NAT-NAN-al-qaeda-operative-arrests-in-delhi-5698062-NOR.html
690707144,20170918,ISLAM,ACTIVIST,MOS,,1,1,10.9,75.9167,"Tirur, Kerala, India",http://indianexpress.com/article/india/kerala-10-months-after-son-killed-for-conversion-man-embraces-islam-4850160/
690592333,20170918,MUSLIM,MYANMAR,MOS,,10,1,27.0529,79.3583,"Manipur, Uttar Pradesh, India",https://www.bhaskar.com/news/NAT-NAN-al-qaeda-operative-arrests-in-delhi-5698062-NOR.html
690667270,20170918,MUSLIM,,MOS,,4,1,30.25,79.25,"Uttarakhand, Uttaranchal, India",http://www.amarujala.com/dehradun/people-protest-against-atrocities-on-rohingya-muslims
690667269,20170918,MUSLIM,,MOS,,4,1,12.8639,74.8353,"Mangalore, Karnataka, India",http://www.amarujala.com/dehradun/people-protest-against-atrocities-on-rohingya-muslims
690870391,20170919,MUSLIM,,MOS,,6,1,20.0,77.0,India,http://www.sahilonline.net/ur/bengaluru-rohingas-muslims-protest-against-myanmar
690806907,20170919,MUSLIM,BUDDHIST,MOS,BUD,10,1,20.0,77.0,India,http://www.jagran.com/world/other-aung-san-suu-kyi-supports-indian-over-rohingya-issue-16733579.html
691029362,20170919,MUSLIM,,MOS,,5,1,26.6,93.4667,"Kaziranga, Assam, India",http://sanhati.com/articles/18422/
690870387,20170919,MUSLIM,,MOS,,6,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.sahilonline.net/ur/arrested-17-accused-involved-in-crimes-in-bengaluru
690870386,20170919,MUSLIM,,MOS,,10,1,12.9833,77.5833,"Bangalore City, Karnataka, India",http://www.sahilonline.net/ur/gst-karnataka-900-crore-rupees
690870388,20170919,MUSLIM,,MOS,,10,1,13.5,76.0,"Karnataka, Karnataka, India",http://www.sahilonline.net/ur/governor-reservation-protest-in-october-karnataka-says-praja-parivartan-vedike
691175815,20170920,MUSLIM,MYANMAR,MOS,,6,1,20.0,77.0,India,http://www.jagran.com/news/national-jagran-special-why-only-india-accept-rohingyas-and-why-not-other-muslim-countries-16738691.html
691317423,20170920,MUSLIM,,MOS,,8,1,22.5697,88.3697,"Calcutta, West Bengal, India",http://www.banglanews24.com/opinion/news/bd/603906.details
691367514,20170920,MUSLIM,MYANMAR,MOS,,10,1,17.3753,78.4744,"Hyderabad, Andhra Pradesh, India",https://www.nyoooz.com/news/hyderabad/920427/rohingya-muslims-are-not-terrorists-but-are-terrorized-maulana-naseeruddin/
691191774,20170920,MUSLIM,,MOS,,10,1,20.0,77.0,India,https://www.dawnnews.tv/news/1064995/
691136539,20170920,MUSLIM,,MOS,,2,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.news18.com/news/india/if-bangladesh-can-shelter-rohingyas-so-can-india-taslima-nasreen-1522761.html
691136540,20170920,MUSLIM,,MOS,,3,1,28.6667,77.2167,"Delhi, Delhi, India",http://www.news18.com/news/india/if-bangladesh-can-shelter-rohingyas-so-can-india-taslima-nasreen-1522761.html
691754146,20170921,ISLAMIC,TERRORIST,MOS,,16,1,28.6,77.2,"New Delhi, Delhi, India",http://www.btvi.in/article/read/international/32651/two-freed-in-london-tube-blast-probe--four-still-in-custody
691457723,20170921,MUSLIM,CRUSADER,MOS,,10,1,25.1833,85.5167,"Bihar, Bihar, India",http://www.samaylive.com/regional-news-in-hindi/ncr-news-in-hindi/386211/arrested-samiun-rahman-trying-to-establish-rohingya-army.html
691754145,20170921,ISLAMIC,TERRORIST,MOS,,4,1,29.3167,78.5167,"Dhampur, Uttar Pradesh, India",http://www.btvi.in/article/read/international/32651/two-freed-in-london-tube-blast-probe--four-still-in-custody
692173291,20170923,MUSLIM,HINDU,MOS,HIN,6,1,20.0,77.0,India,http://www.risingbd.com/risingbd-special-news/237944
692137322,20170923,MUSLIM,,MOS,,3,1,33.7679,74.0897,"Poonch, Jammu and Kashmir, India",https://www.dawn.com/news/1353858/they-set-them-all-on-fire-chakwal-recalls-horrors-of-partition
692412909,20170924,MUSLIM,MYANMAR,MOS,,10,1,29.6161,76.9806,"Haryana, Haryana, India",https://www.bhaskar.com/news/NAT-NAN-hindus-mass-grave-myanmar-army-rohingya-militants-5703604-PHO.html
692335174,20170924,MUSLIM,,MOS,,10,1,20.0,77.0,India,https://svenska.yle.fi/artikel/2017/09/24/arundhati-roys-hyllade-comeback-till-skonlitteraturen-beskriver-bade-blint-vald
692574546,20170925,MUSLIM,EXTREMIST,MOS,,20,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",http://dailyausaf.com/pakistan/2017-09-25/52592
692643542,20170925,MUSLIM,RAKHINE,MOS,,6,1,33.9167,76.6667,"Kashmir, Jammu and Kashmir, India",http://dailyausaf.com/latestnews/2017-09-25/52700
692643541,20170925,MUSLIM,RAKHINE,MOS,,4,1,28.6667,77.2167,"Delhi, Delhi, India",http://dailyausaf.com/latestnews/2017-09-25/52700
693257278,20170927,HAFIZ SAEED,MUMBAI,MOS,,6,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/hindi-news-live/people-like-hafiz-america-s-darling-now-burden-on-us-pakistan-us-hafiz-saeed-terrorist-khwaja-asif-haqqani-network-lite-mumbai-attack-unga.html
693257277,20170927,HAFIZ SAEED,,MOS,,4,1,27.25,80.75,"Uttar Pradesh, Uttar Pradesh, India",https://www.nayaindia.com/hindi-news-live/people-like-hafiz-america-s-darling-now-burden-on-us-pakistan-us-hafiz-saeed-terrorist-khwaja-asif-haqqani-network-lite-mumbai-attack-unga.html
693159774,20170927,MUSLIM,,MOS,,6,1,17.9,77.55,"Bidar, Karnataka, India","http://organiser.org/Encyc/2017/9/26/Hyderabad-Liberation-Day-Analysis---Not-Merger,But-Liberation.aspx"
693247216,20170927,HAFIZ SAEED,,MOS,,8,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://naidunia.jagran.com/world-hafiz-saeed-lashkar-e-taiba-are-a-liability-for-us-admits-pakistan-foreign-minister-1331301
693159775,20170927,MUSLIM,,MOS,,2,1,17.9,77.55,"Bidar, Karnataka, India","http://organiser.org/Encyc/2017/9/26/Hyderabad-Liberation-Day-Analysis---Not-Merger,But-Liberation.aspx"
693247217,20170927,HAFIZ SAEED,MUMBAI,MOS,,12,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://naidunia.jagran.com/world-hafiz-saeed-lashkar-e-taiba-are-a-liability-for-us-admits-pakistan-foreign-minister-1331301
693538315,20170928,ISLAMIC,PRIEST,MOS,,2,1,10.0,76.5,"Kerala, Kerala, India",http://indianexpress.com/article/india/i-pray-for-those-who-kept-me-captive-says-father-tom-uzhunnalil-narendra-modi-yemen-kerala-priest-isis4865496/
693489631,20170928,HAFIZ SAEED,,MOS,,2,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.punjabkesari.in/international/news/pakistan-says--hafiz-and-haqqani-were---darling---of-the-white-house-683481
693489632,20170928,HAFIZ SAEED,MUMBAI,MOS,,4,1,18.975,72.8258,"Mumbai, Maharashtra, India",http://www.punjabkesari.in/international/news/pakistan-says--hafiz-and-haqqani-were---darling---of-the-white-house-683481
693538308,20170928,ISLAMIC,KERALA,MOS,,2,1,10.0,76.5,"Kerala, Kerala, India",http://indianexpress.com/article/india/i-pray-for-those-who-kept-me-captive-says-father-tom-uzhunnalil-narendra-modi-yemen-kerala-priest-isis4865496/
693423230,20170928,ISLAMIC,VATICAN,MOS,,2,1,10.0,76.5,"Kerala, Kerala, India",http://www.firstpost.com/india/father-tom-returns-to-india-after-18-months-in-islamic-state-captivity-to-meet-modi-today-4089517.html
