GLOBALEVENTID,SQLDATE,Actor1Name,Actor2Name,Actor1Religion1Code,Actor2Religion1Code,NumMentions,NumSources,ActionGeo_Lat,ActionGeo_Long,ActionGeo_Fullname,SOURCEURL
556181420,20160702,HINDU,BANGLADESH,HIN,,2,1,54.0,-2.0,United Kingdom,http://www.abc.net.au/news/2016-07-03/bangladesh-pm-urges-islamist-extremists-end-religious-killings/7565088
556112541,20160702,HINDU,HINDU PRIEST,HIN,HIN,2,1,54.0,-2.0,United Kingdom,http://www.news24.com/Africa/News/20-killed-in-bangladesh-restaurant-hostage-carnage-20160702
556112540,20160702,HINDU,BANGLADESH,HIN,,2,1,54.0,-2.0,United Kingdom,http://www.news24.com/Africa/News/20-killed-in-bangladesh-restaurant-hostage-carnage-20160702
556202559,20160703,HINDU,BANGLADESH,HIN,,2,1,54.0,-2.0,United Kingdom,http://www.radioaustralia.net.au/international/2016-07-03/dhaka-cafe-siege-bangladesh-pm-urges-islamist-extremists-to-end-religious-killings/1595784
556212760,20160703,HINDU,HINDU PRIEST,HIN,HIN,2,1,54.0,-2.0,United Kingdom,http://nation.com.pk/national/03-Jul-2016/20-killed-in-dhaka-hostage-bloodbath
556212759,20160703,HINDU,BANGLADESH,HIN,,2,1,54.0,-2.0,United Kingdom,http://nation.com.pk/national/03-Jul-2016/20-killed-in-dhaka-hostage-bloodbath
556202561,20160703,HINDU,HINDU PRIEST,HIN,HIN,2,1,54.0,-2.0,United Kingdom,http://www.radioaustralia.net.au/international/2016-07-03/dhaka-cafe-siege-bangladesh-pm-urges-islamist-extremists-to-end-religious-killings/1595784
558791536,20160711,JEWISH,,JEW,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://jpupdates.com/2016/07/11/two-men-arrested-in-two-separate-anti-semitic-incidents-in-london-sunday/
562096636,20160721,CHRISTIAN,,CHR,,3,1,54.0,-2.0,United Kingdom,http://pulse.ng/religion/christianity-vs-islam-young-christian-girl-raped-and-forced-into-muslim-marriage-in-pakistan-id5290243.html
562266603,20160721,JAIN,POLICE,JAN,,4,1,54.0,-2.0,United Kingdom,http://www.3ders.org/./articles/20160721-police-3d-printed-copies-of-murder-victims-fingers-to-unlock-protected-smartphone.html
562522146,20160722,CATHOLIC,,CHR,,10,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.premierchristianradio.com/News/UK/Teachers-at-Christian-school-guilty-of-multiple-sex-attacks
562382712,20160722,UNITED KINGDOM,,CHR,,10,1,54.0,-2.0,United Kingdom,http://www.premierchristianradio.com/News/UK/Christian-man-buried-alive-to-raise-awareness-about-suicide
562382395,20160722,CHRISTIAN,,CHR,,16,1,54.0,-2.0,United Kingdom,http://www.premierchristianradio.com/News/UK/Christian-man-buried-alive-to-raise-awareness-about-suicide
562454822,20160722,CHRISTIAN,,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.premierchristianradio.com/News/UK/Pray-for-me-asks-Christian-man-buried-alive
562993022,20160724,PRESBYTERIAN,SAINT,CHR,,2,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",https://www.gov.uk/government/news/secretary-of-state-on-belfast-church-arson-attack
562990625,20160724,PRESBYTERIAN,POLICE,CHR,,5,1,54.5,-6.5,"Northern Ireland, Craigavon, United Kingdom",http://www.eveningecho.ie/national-news/psni-investigate-arson-attack-that-inflicts-considerable-damage-on-church/2499334/
565181811,20160731,CHRISTIAN,,CHR,,5,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://moderndiplomacy.eu/index.php?option=com_k2&view=item&id=1636:islam-and-the-free-world-what-should-be-done-as-an-imperative-survival-d&Itemid=678
565058786,20160731,PROTESTANT,CATHOLIC,CHR,CHR,10,1,54.5833,-5.93333,"Belfast, Belfast, United Kingdom",http://www.independent.ie/world-news/war-on-terror/lone-wolves-are-groomed-by-hate-preachers-34925832.html
565181814,20160731,CHRISTIAN,ISLAMIC,CHR,MOS,5,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://moderndiplomacy.eu/index.php?option=com_k2&view=item&id=1636:islam-and-the-free-world-what-should-be-done-as-an-imperative-survival-d&Itemid=678
565844715,20160802,CHRISTIAN,UNITED KINGDOM,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.breitbart.com/london/2016/08/02/media-cover-up-muslims-who-attended-mass-in-france-from-persecuted-apostate-sect/
565745627,20160802,ANGLICAN,,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.theuknews.com/index.php/sid/246356397
566362570,20160804,JEWISH,,JEW,,5,1,54.0,-2.0,United Kingdom,http://metro.co.uk/2016/08/04/sharp-rise-in-anti-semitic-hate-incidents-6046812/
567630106,20160808,HINDU,DALIT,HIN,,4,1,54.0,-2.0,United Kingdom,http://www.newsnow.in/news/married-woman-elopes-dad-pays-rs-1-lakh-to-her-in-laws
567562121,20160808,CHRISTIAN,,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.express.co.uk/news/world/697857/Muslim-gang-armed-GAS-CANNISTERS-destroy-village-rumours-church-built
567888081,20160809,CATHOLIC PRIEST,LONDON,CHR,,2,1,51.3833,-0.1,"Croydon, Croydon, United Kingdom",http://www.ibtimes.co.uk/ex-catholic-priest-who-worked-childrens-care-home-admits-27-counts-child-sex-assault-1575186
567888082,20160809,CATHOLIC PRIEST,LONDON,CHR,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.ibtimes.co.uk/ex-catholic-priest-who-worked-childrens-care-home-admits-27-counts-child-sex-assault-1575186
567888083,20160809,CATHOLIC PRIEST,LONDON,CHR,,6,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.ibtimes.co.uk/ex-catholic-priest-who-worked-childrens-care-home-admits-27-counts-child-sex-assault-1575186
567863725,20160809,CATHOLIC PRIEST,,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.itv.com/news/london/2016-08-09/priest-pleads-guilty-to-27-counts-of-historical-sexual-assault-against-children-in-his-care/
568239453,20160810,CATHOLIC PRIEST,LONDON,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.endtime.com/prophecy-news/ex-catholic-priest-admits-27-counts-child-sex-assault-london/
569406374,20160815,CHRISTIAN,,CHR,,5,1,51.5,-0.116667,"London, London, City of, United Kingdom",https://www.baptistmessenger.com/anti-internet-porn-campaign-announced-by-uks-cameron/
571014718,20160820,PUERTO RICO,,,,10,1,54.0,-2.0,United Kingdom,http://pulsoslp.com.mx/2016/08/19/hallan-sin-vida-dos-perros-mascotas-en-ferry-incendiado-en-puerto-rico/
571544851,20160822,UNITED KINGDOM,JUDICIARY,CHR,,2,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.time.mk/c/7bb10b56e6/kosovo-%D1%9D-predade-na-britanija-svestenik-obvinet-za-seksualno-iskoristuvanje.html
571544850,20160822,UNITED KINGDOM,JUDICIARY,CHR,,38,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.time.mk/c/7bb10b56e6/kosovo-%D1%9D-predade-na-britanija-svestenik-obvinet-za-seksualno-iskoristuvanje.html
571405883,20160822,CATHOLIC PRIEST,,CHR,,10,1,51.5,-0.116667,"London, London, City of, United Kingdom",http://www.telegraph.co.uk/news/2016/08/22/fugitive-catholic-priest-at-centre-of-five-year-manhunt-arrested/
571568416,20160822,UNITED KINGDOM,JUDICIARY,CHR,,10,1,54.0,-2.0,United Kingdom,http://iris.mk/agenciski/svet/prikazi/1471847343.nigerija-boko-haram-ubil-deset-luge-kaj-cibok
572329972,20160824,JEWISH,,JEW,,4,1,54.0,-2.0,United Kingdom,http://www.israelnationalnews.com/Articles/Article.aspx/19384
572268764,20160824,CHRISTIANITY,CHRISTIAN,CHR,CHR,10,1,54.0,-2.0,United Kingdom,http://www.anglicannews.org/news/2016/08/jordanian-prince-and-jewish-academic-decry-plight-of-middle-east-christians.aspx
572800221,20160825,CHRISTIAN,,CHR,,8,1,54.0,-2.0,United Kingdom,http://cnsnews.com/news/article/michael-w-chapman/british-mp-isis-genocide-2-year-old-boy-was-killed-ground-meat-and
572782127,20160825,JEWISH,HAIFA,JEW,,4,1,54.0,-2.0,United Kingdom,http://www.camera.org/index.asp?x_context=2&x_outlet=118&x_article=1691
572800228,20160825,CHRISTIAN,SYRIA,CHR,,2,1,54.0,-2.0,United Kingdom,http://cnsnews.com/news/article/michael-w-chapman/british-mp-isis-genocide-2-year-old-boy-was-killed-ground-meat-and
572782130,20160825,JEWISH,HAIFA,JEW,,2,1,54.0,-2.0,United Kingdom,http://www.camera.org/index.asp?x_context=2&x_outlet=118&x_article=1691
572985632,20160826,CHRISTIAN,UNITED KINGDOM,CHR,,2,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.prisonplanet.com/british-mp-on-isis-genocide-2-year-old-boy-killed-ground-into-meat-and-fed-to-his-mother.html
572841340,20160826,CHRISTIAN,,CHR,,8,1,54.0,-2.0,United Kingdom,http://www.cnsnews.com/news/article/michael-w-chapman/british-mp-isis-genocide-2-year-old-boy-was-killed-ground-meat-and
572985630,20160826,CHRISTIAN,,CHR,,2,1,55.8333,-4.25,"Glasgow, Glasgow City, United Kingdom",http://www.prisonplanet.com/british-mp-on-isis-genocide-2-year-old-boy-killed-ground-into-meat-and-fed-to-his-mother.html
572841346,20160826,CHRISTIAN,SYRIA,CHR,,2,1,54.0,-2.0,United Kingdom,http://www.cnsnews.com/news/article/michael-w-chapman/british-mp-isis-genocide-2-year-old-boy-was-killed-ground-meat-and
